S;BKE012507SES00000001;BKE012507INV00000001;344000;BKE01;0;0;1;37CV040040GAM;BKE01;AM;UN;17682.1544;BKE1;CB1MA2801252355
S;BKE012507SES00000001;BKE012507INV00000001;381000;BKE01;0;0;1;38DL060050CFGAM;BKE01;AM;UN;108247.967;BKE1;CB1MA2105251250
S;BKE012507SES00000001;BKE012507INV00000001;383000;BKE01;0;0;1;38DL060060CFGAM;BKE01;AM;UN;119079;BKE1;CB1MA2801251936
S;BKE012507SES00000001;BKE012507INV00000001;388000;BKE01;0;0;1;38DL080060CFGAM;BKE01;AM;UN;110344.22523;BKE1;LOT311223
S;BKE012507SES00000001;BKE012507INV00000001;390000;BKE01;0;0;1;38DL080080CFGAM;BKE01;AM;UN;100475.53754;BKE1;CB1MA0102250121
S;BKE012507SES00000001;BKE012507INV00000001;391000;BKE01;0;0;1;38DL080080CFGAM;BKE01;AM;UN;100475.53754;BKE1;CB1MA3101252322
S;BKE012507SES00000001;BKE012507INV00000001;392000;BKE01;0;0;1;38DL080080CFGAM;BKE01;AM;UN;100475.53754;BKE1;CB1MA2102252019
S;BKE012507SES00000001;BKE012507INV00000001;399000;BKE01;0;0;1;38DL100100100CFGAM;BKE01;AM;UN;110891.77284;BKE1;CB1MA1804241085
S;BKE012507SES00000001;BKE012507INV00000001;400000;BKE01;0;0;1;38DL100100100CFGAM;BKE01;AM;UN;110891.77284;BKE1;CB1MA1904241212
S;BKE012507SES00000001;BKE012507INV00000001;401000;BKE01;0;0;1;38DL100100100CFGAM;BKE01;AM;UN;110891.77284;BKE1;CB1MA2004241378
S;BKE012507SES00000001;BKE012507INV00000001;402000;BKE01;0;0;1;38DL100100100CFGAM;BKE01;AM;UN;110891.77284;BKE1;CB1MA2204241391
S;BKE012507SES00000001;BKE012507INV00000001;403000;BKE01;0;0;1;38DL100100CFGAM;BKE01;AM;UN;220110.97193;BKE1;CB1MA0901250757
S;BKE012507SES00000001;BKE012507INV00000001;404000;BKE01;0;0;1;38DL100100CFGAM;BKE01;Q;UN;220110.97193;BKE1;CB1MA1406250578
S;BKE012507SES00000001;BKE012507INV00000001;405000;BKE01;0;0;1;38DL100100CFGAM;BKE01;A;UN;220110.97193;BKE1;CB1MA0906250255
S;BKE012507SES00000001;BKE012507INV00000001;403000;BKE01;0;0;1;38DL100100CFGAM;BKE01;AM;UN;220110.97193;BKE1;CB1MA0901250757
S;BKE012507SES00000001;BKE012507INV00000001;404000;BKE01;0;0;1;38DL100100CFGAM;BKE01;Q;UN;220110.97193;BKE1;CB1MA1406250578
S;BKE012507SES00000001;BKE012507INV00000001;405000;BKE01;0;0;1;38DL100100CFGAM;BKE01;A;UN;220110.97193;BKE1;CB1MA0906250255
